ID,鄰近捷運站點統計,鄰近火車站點統計,鄰近公車站點統計,鄰近腳踏車站點統計,鄰近國小統計,鄰近國中統計,鄰近醫療機構統計,鄰近便利商店統計,主要用途_一般事務所,主要用途_住商用,主要用途_住家用,主要用途_住工用,主要用途_其他,主要用途_商業用,主要用途_國民住宅,主要用途_工業用,主要用途_店鋪,主要用途_廠房,主要用途_辦公室,主要用途_集合住宅,主要建材_其他,主要建材_加強磚造,主要建材_磚造,主要建材_鋼筋混凝土加強磚造,主要建材_鋼筋混凝土造,主要建材_鋼骨造,建物型態_住宅大樓(11層含以上有電梯),建物型態_公寓(5樓含以下無電梯),建物型態_華廈(10層含以下有電梯),建物型態_透天厝,土地面積,移轉層次,總樓層數,屋齡,建物面積,車位面積,橫坐標,縱坐標,主建物面積,陽台面積,附屬建物面積
TR-1,0,0,12,4,9,6,44,17,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.064614550293485,0.20454545454545453,0.13636363636363638,0.5423023578363384,0.1161717187259578,0.0,0.9192714233369416,0.9244996498222182,0.1739104394178362,0.11790633608815428,0.0
TR-2,0,0,0,1,8,0,10,9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.08153095264136496,0.11363636363636363,0.15151515151515152,0.40221914008321774,0.1488690567779658,0.0,0.9064357418766555,0.9231932173257196,0.12379963664676873,0.1453443526170799,0.0
TR-3,0,0,0,1,1,0,14,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08540800794779248,0.18181818181818182,0.196969696969697,0.10263522884882108,0.1561778735190029,0.0661596165867889,0.5823634548093948,0.03655654024350774,0.13913234442692007,0.08275482093663913,0.0575179743669897
TR-4,2,0,1,3,4,1,6,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.08084167304677531,0.15909090909090912,0.18181818181818182,0.14701803051317616,0.13882905062317275,0.09064388414252969,0.8951803960069256,0.937890582911324,0.1410888618259498,0.12639118457300277,0.01963113472960299
TR-5,2,0,21,6,1,4,72,34,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.03231297167231762,0.8863636363636365,0.6212121212121212,0.18307905686546463,0.19383751346360978,0.09116482600541778,0.8972054632061514,0.9248161566641517,0.2020004392181916,0.21707988980716256,0.0
TR-6,0,0,50,6,6,2,28,11,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.08913353567392175,0.0,0.15151515151515152,0.6546463245492372,0.10028465917833511,0.0,0.9083601151267485,0.9251899041051601,0.11990656631196467,0.06611570247933884,0.0
TR-7,0,0,18,5,5,2,11,9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.11738260600094788,0.0,0.030303030303030304,0.7656033287101248,0.0696645637790429,0.0,0.884087279277465,0.9092534479043213,0.12879075246062008,0.0,0.0
TR-8,0,0,12,1,2,1,9,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.04746800831237012,0.11363636363636363,0.16666666666666666,0.2829403606102635,0.09647638098168945,0.0,0.8234471454663949,0.8835490518263125,0.11469584140230388,0.08396694214876034,0.007252266333229131
TR-9,0,0,23,1,2,0,17,9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.11168152320536656,0.06818181818181819,0.045454545454545456,0.7128987517337032,0.09951531004769962,0.0,0.9136857062142152,0.9150785206335517,0.13839365928647007,0.22964187327823693,0.0
TR-10,0,0,1,1,4,1,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.06130600823945459,0.29545454545454547,0.196969696969697,0.10540915395284327,0.09312971226342513,0.13044384246718063,0.8311166679253411,0.8923674711776748,0.09121763261394714,0.07349862258953169,0.008065020318849642
TR-11,0,0,28,0,2,1,1,6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.06098358489190272,0.06818181818181819,0.16666666666666666,0.478502080443828,0.10747807354977687,0.15576161700354238,0.8842830730674454,0.9398434974679457,0.1456607239114376,0.10699724517906338,0.003376055017192868
TR-12,0,0,14,2,1,1,25,6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.03776910386816872,0.13636363636363635,0.18181818181818182,0.4909847434119279,0.10201569472226495,0.0,0.6709489565589521,0.5860157849369685,0.12114436303379982,0.11217630853994491,0.0
TR-13,0,0,4,1,2,1,25,13,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.07033614058113674,0.045454545454545456,0.045454545454545456,0.5644937586685159,0.10836282505000769,0.0,0.9154842120278923,0.9613255575907775,0.1396514204715606,0.15393939393939396,0.0
TR-14,0,0,9,1,7,2,21,12,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0815696890152758,0.06818181818181819,0.3484848484848485,0.11927877947295423,0.26919526080935524,0.14586372160866845,0.6632906223165762,0.5977063355241885,0.26814270598334966,0.1447933884297521,0.044263832447639886
TR-15,0,0,20,2,1,0,2,6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.02108739837398374,0.3409090909090909,0.2424242424242424,0.3522884882108183,0.06381751038621325,0.03511148155865805,0.9203035363155525,0.8987312789570083,0.0899399069656012,0.0777961432506887,0.012503907471084721
TR-16,0,0,90,0,3,2,2,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.1336609974844143,0.02272727272727272,0.15151515151515152,0.44244105409153944,0.10713186644099092,0.0,0.926820672467757,0.9134252774485514,0.13396154844377006,0.13752066115702483,0.04007502344482651
TR-17,0,0,19,2,1,3,15,7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.07119973385832512,0.18181818181818182,0.15151515151515152,0.5048543689320387,0.13367441144791503,0.0,0.655131615382679,0.6106662805732146,0.17846233704006864,0.12694214876033058,0.0
TR-18,0,0,4,1,2,2,17,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.025652593969885888,0.25,0.2424242424242424,0.08460471567267683,0.08055085397753498,0.0,0.8824537996582,0.9263616528391339,0.08059653816207148,0.031074380165289267,0.015504845264145044
TR-19,0,0,4,2,2,1,6,9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.048703015057056404,0.045454545454545456,0.18181818181818182,0.45769764216366154,0.09270657024157558,0.0,0.9396507598197579,0.916519636892577,0.11469584140230388,0.09112947658402204,0.012253829321663027
TR-20,0,0,36,7,3,0,28,13,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.05498514346130008,0.18181818181818182,0.21212121212121213,0.47018030513176146,0.11328665948607475,0.11898312148364243,0.8932224581071216,0.9095699547462566,0.1631296292599173,0.10269972451790636,0.004126289465457957
TR-21,0,0,15,3,3,2,12,9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.08977610375879543,0.15909090909090912,0.18181818181818182,0.2524271844660194,0.17233420526234802,0.08116274223796623,0.8701915142971423,0.8963911485831275,0.1878256703068538,0.10997245179063363,0.021256642700844017
TR-22,0,0,20,1,1,1,1,7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.10942114185715847,0.0,0.045454545454545456,0.5353675450762829,0.11797968918295121,0.0,0.8811363871570462,0.9187688557267535,0.1831739503683443,0.15724517906336088,0.0
TR-23,2,0,20,2,9,4,74,20,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.09126175762878705,0.0,0.10606060606060605,0.130374479889043,0.15221572549623014,0.14482183788289227,0.9141975671223068,0.9280755037172721,0.12575615404579846,0.08198347107438018,0.05451703657392935
TR-24,1,2,4,2,4,2,17,6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.09360189033504682,0.06818181818181819,0.045454545454545456,0.7101248266296808,0.06047084166794889,0.0,0.5595758547098196,0.03538142441547265,0.10295673700812552,0.0,0.03150984682713348
TR-25,0,0,2,1,13,4,44,17,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.05758048051332531,0.02272727272727272,0.10606060606060605,0.3203883495145631,0.10643945222341897,0.08376745155240674,0.8502597064771383,0.9215298728585282,0.1147357703288147,0.09884297520661159,0.014504532666458257
TR-26,0,0,6,2,2,3,33,26,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.10445832877611287,0.02272727272727272,0.030303030303030304,0.6740638002773925,0.09155254654562238,0.0,0.9035212114600902,0.9463554573860566,0.13336261454610793,0.18203856749311298,0.0
TR-27,0,0,12,2,22,5,101,27,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.07064033504684822,0.0909090909090909,0.07575757575757576,0.6865464632454924,0.1367133405139252,0.0,0.9217915691194035,0.9293785691197076,0.17676535766335918,0.2190633608815427,0.0
TR-28,2,0,20,2,3,1,60,29,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.025738041853512708,0.045454545454545456,0.3030303030303031,0.10957004160887655,0.09570703185105399,0.0,0.8972362308017197,0.9257252720612001,0.09343368803529714,0.09421487603305786,0.0
TR-29,0,0,17,0,1,1,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.12098622807976958,0.4090909090909091,0.31818181818181823,0.09986130374479889,0.16841052469610707,0.09439466555532403,0.844145346121465,0.8883505279603483,0.17446944438898757,0.1334435261707989,0.0
TR-30,0,1,13,4,5,2,15,16,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.046520106456669943,0.06818181818181819,0.07575757575757576,0.47711511789181693,0.08182028004308353,0.0,0.8819922857246748,0.9093881316668462,0.09594921040547823,0.04561983471074381,0.008377618005626765
TR-31,0,0,2,1,1,1,2,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.06950786576251412,0.06818181818181819,0.15151515151515152,0.4826629680998613,0.12848130481612552,0.04594707230673057,0.6546980719905795,0.6075954907876309,0.16512607558545786,0.10534435261707992,0.01656767739918725
TR-32,0,0,20,2,1,0,11,15,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.10613310729519851,0.045454545454545456,0.030303030303030304,0.7018030513176142,0.08839821511001691,0.0,0.9308847921369214,0.9410320816722333,0.13877298408832275,0.12198347107438018,0.0
TR-33,0,0,11,2,4,2,14,8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.06525028254766853,0.02272727272727272,0.15151515151515152,0.5866851595006934,0.15760116941067856,0.0,0.5613547811444987,0.030293745286067875,0.20509493102277943,0.14710743801652892,0.0
TR-34,1,0,72,1,13,4,56,21,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.02890644937839513,0.18181818181818182,0.15151515151515152,0.5353675450762829,0.1005923988305893,0.0,0.9174337587652684,0.9255367147936635,0.14162790233384576,0.06909090909090909,0.0
TR-35,0,0,2,1,1,1,4,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.1325615680484159,0.045454545454545456,0.18181818181818182,0.11095700416088766,0.19076011694106781,0.20254219629089393,0.8227059261186119,0.918728450597996,0.18489089420830918,0.09719008264462811,0.0843388558924664
TR-36,0,0,3,1,5,0,9,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.06134360530825038,0.02272727272727272,0.045454545454545456,0.6796116504854369,0.06547161101707953,0.0,0.9338720459611937,0.9492444240922318,0.10271716344906064,0.10402203856749312,0.0
TR-37,0,0,0,0,2,1,15,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.101926792810529,0.0909090909090909,0.07575757575757576,0.08183079056865465,0.07662717341129402,0.04490518858095436,0.5617799333741704,0.2008639963366008,0.09451176905108902,0.03757575757575758,0.0
TR-38,0,0,48,0,3,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.05605495096430785,0.13636363636363635,0.18181818181818182,0.05409153952843273,0.08724419141406368,0.10012502604709313,0.8855445444857476,0.9419512983514711,0.08215376629599311,0.05663911845730028,0.022694592060018753
TR-39,0,0,3,1,1,0,13,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.08206870465565641,0.11363636363636363,0.09090909090909091,0.4563106796116505,0.14106016310201566,0.07105647009793706,0.836288421034966,0.9018020687425921,0.1976481862285132,0.11856749311294768,0.01025320412628947
TR-40,1,0,23,0,7,5,79,30,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.08162551496591199,0.06818181818181819,0.045454545454545456,0.6976421636615809,0.06981843360517001,0.0,0.9216041664918508,0.9344561469669213,0.10906586276427957,0.11008264462809919,0.0
TR-41,0,0,12,0,2,1,12,7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.08471644974297275,0.06818181818181819,0.196969696969697,0.4299583911234396,0.14644560701646403,0.1025213586163784,0.8498681188971775,0.9337456901195988,0.20062289125356864,0.0,0.0
TR-42,0,0,44,2,1,1,10,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.05279995625068358,0.13636363636363635,0.196969696969697,0.15533980582524273,0.13248192029543002,0.04136278391331527,0.8703425552208415,0.9465541159357826,0.1273732755694863,0.1056749311294766,0.032697718036886536
TR-43,0,1,4,1,1,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.05600368223413175,0.0909090909090909,0.15151515151515152,0.036061026352288486,0.08370518541314045,0.07532819337361951,0.6812057540997821,0.6116999784505985,0.08269280680388906,0.04000000000000001,0.016942794623319785
TR-44,0,0,0,0,2,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.083458656895986,0.15909090909090912,0.16666666666666666,0.08183079056865465,0.10509309124480687,0.0,0.7360755652147158,0.8047725191250947,0.10385513785461875,0.07195592286501379,0.0
TR-45,0,0,10,2,1,1,3,7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.09220282365379706,0.11363636363636363,0.09090909090909091,0.4812760055478502,0.12963532851207873,0.08533027714107103,0.8876031763346843,0.949251158280358,0.1774840783405538,0.141267217630854,0.006064395123476079
TR-46,0,1,13,3,5,1,50,7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.039740101717160664,0.15909090909090912,0.18181818181818182,0.3009708737864077,0.12278812124942298,0.0927276515940821,0.6857006201069035,0.6379565779549612,0.13210485336101735,0.10380165289256199,0.0
TR-47,0,0,5,5,1,2,29,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0889432717197127,0.36363636363636365,0.33333333333333337,0.07905686546463245,0.19787659639944602,0.1399249843717441,0.6696930792489351,0.587009077685595,0.20064285571682403,0.13046831955922866,0.0
TR-48,1,0,5,2,5,1,57,29,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.056188249662765685,0.045454545454545456,0.045454545454545456,0.6907073509015257,0.07104939221418678,0.0,0.8939189245886233,0.9353080217648966,0.11158138513446063,0.10798898071625346,0.0
TR-49,0,1,7,0,10,3,45,14,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.08419123008494658,0.0909090909090909,0.18181818181818182,0.11373092926490984,0.14925373134328354,0.09960408418420505,0.7688934014695723,0.8536795603921998,0.14023038990596737,0.12418732782369146,0.03457330415754924
TR-50,2,0,50,0,2,0,2,6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.14616714973203543,0.045454545454545456,0.045454545454545456,0.5062413314840499,0.2043775965533159,0.0,0.9259004416548492,0.9167890044176268,0.23038990596737802,0.16462809917355375,0.017005314160675213
TR-51,0,0,2,1,4,1,4,7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.05084035145284188,0.13636363636363635,0.09090909090909091,0.43966712898751736,0.0976304046776427,0.0,0.831566993642296,0.892401142118306,0.13452055341492142,0.10402203856749312,0.0
TR-52,2,0,4,1,6,1,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.09667573553538224,0.0,0.3939393939393939,0.16088765603328709,0.26665640867825813,0.20254219629089393,0.8932364433778345,0.9382676974463955,0.28397452534488604,0.0,0.07689903094717103
TR-53,0,0,6,1,1,2,19,11,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.04862668161434977,0.045454545454545456,0.07575757575757576,0.4840499306518723,0.12548084320664715,0.0,0.6554644648256457,0.610312735696585,0.13404140629679168,0.16066115702479342,0.004501406689590504
TR-54,0,0,14,2,2,2,30,27,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.07447523606401983,0.0,0.045454545454545456,0.694868238557559,0.08659024465302352,0.0,0.9036386877340785,0.9469076608124123,0.1577991175707241,0.0,0.0
TR-55,0,0,1,2,1,2,5,7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.03588355390280361,0.13636363636363635,0.21212121212121213,0.4368932038834951,0.08928296661024773,0.0,0.9104718910043942,0.9043980982652737,0.10169897582303497,0.08528925619834712,0.021569240387621126
TR-56,0,0,13,1,2,2,26,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.060854843413905,0.0,0.15151515151515152,0.09847434119278779,0.13367441144791503,0.07970410502187955,0.8995102358196349,0.9259879053981255,0.13272375172193493,0.09410468319559229,0.018068146295717416
TR-57,0,0,0,0,1,0,10,7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.06256038317109627,0.06818181818181819,0.196969696969697,0.45353675450762826,0.10159255270041542,0.0312565117732861,0.5486030113084899,0.17758054088998954,0.12154365229890793,0.1000550964187328,0.0
TR-58,2,1,0,2,5,3,46,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.029891948302891103,0.20454545454545453,0.40909090909090906,0.0651872399445215,0.21499461455608554,0.032715148989372785,0.5680257552745449,0.03275509104622287,0.206452514524147,0.17366391184573005,0.0
TR-59,0,0,6,0,2,3,2,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.07322769696306829,0.3181818181818182,0.28787878787878785,0.001386962552011095,0.13352054162178795,0.11617003542404668,0.9050819676716483,0.9452443163452209,0.13507955838607277,0.05983471074380166,0.028884026258205697
TR-60,3,0,6,1,5,6,81,22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.09579277407123846,0.0909090909090909,0.07575757575757576,0.6477115117891815,0.15440837051854128,0.0,0.9184686687980219,0.9270990464389612,0.2180319032122821,0.18391184573002758,0.0
